ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
0.357972,22.5564,Gxy,And,14.8,,0.0937169,0.393683,178,0.7,0.3,9,2,86,NGC,,,,,
0.358889,-48.6261,Gxy,Phe,13,,0.0939569,-0.848686,179,1.9,0.9,148,2,92,NGC,,,,,
0.358333,22.5,,And,,,0.0938114,0.392699,180,,,,1,1546,IC,,,,,
0.36,22.5167,?,And,,,0.0942478,0.39299,181,,,,1,1547,IC,,,,,
0.364361,22.3683,*,And,15,,0.0953895,0.390401,182,1.9,0.8,132,2,91,NGC,,,,,
0.364278,22.4,Gxy,And,13.8,,0.0953677,0.390954,183,2.2,,132,2,90,NGC,,,,,
0.36533,22.0064,Gxy,And,15.64,,0.0956432,0.384084,184,0.68,0.42,78,3,1548,IC,,,,,
0.367583,22.4081,Gxy,And,13.6,,0.0962331,0.391094,185,1.4,0.6,48,2,93,NGC,,,,,
0.370417,22.4831,Gxy,And,14.6,,0.0969749,0.392403,186,0.4,0.2,30,2,94,NGC,,,,,
0.370583,10.4911,Gxy,Psc,12.6,,0.0970185,0.183104,187,1.9,1.1,,2,95,NGC,,,,,
0.371583,22.5464,Gxy,And,14.6,,0.0972803,0.393509,188,0.6,0.6,,2,96,NGC,,,,,
0.375,29.7453,Gxy,And,12.4,,0.0981748,0.519153,189,1.5,1.3,,2,97,NGC,,,,,
0.376667,10.4833,,Psc,,,0.0986111,0.182969,190,,,,1,14,IC,,,,,
0.380361,-45.2694,Gxy,Phe,13.1,,0.0995783,-0.790101,191,1.7,1.3,0,2,98,NGC,,,,,
0.38052,6.96431,Gxy,Psc,15,,0.0996199,0.12155,192,1.45,,,3,1549,IC,,,,,
0.398472,-32.5364,Gxy,Scl,12.8,,0.10432,-0.567867,193,2.2,2,,2,101,NGC,,,,,
0.399889,15.7694,Gxy,Psc,13.2,,0.104691,0.275229,194,1.4,1.3,,2,99,NGC,,,,,
0.400694,16.4858,Gxy,Psc,13.5,,0.104902,0.287732,195,5.5,0.7,56,2,100,NGC,,,,,
0.401417,-72.0808,GC,Tuc,4,"47 Tuc",0.105091,-1.25805,196,50,,,2,104,NGC,106,C,,,
0.410083,-13.9572,Gxy,Cet,13.5,,0.10736,-0.243599,197,1,0.7,140,2,102,NGC,,,,,
0.40768,38.1857,Gxy,And,15.03,,0.10673,0.666466,198,0.91,,,3,1550,IC,,,,,
0.412139,-5.14917,Gxy,Psc,13.7,,0.107898,-0.0898699,199,0.9,0.7,100,2,106,NGC,,,,,
0.4215,61.3219,OC,Cas,9.8,,0.110348,1.07027,200,5,,,2,103,NGC,,,,,
0.421361,12.8853,Gxy,Psc,13.1,,0.110312,0.224891,201,1.1,0.7,167,2,105,NGC,,,,,
0.428361,-8.28417,Gxy,Cet,15.2,,0.112145,-0.144586,202,0.9,0.6,142,2,107,NGC,,,,,
0.43325,29.2119,Gxy,And,12.2,,0.113425,0.509845,203,2,1.6,,2,108,NGC,,,,,
0.437361,21.8072,Gxy,And,14,,0.114501,0.380608,204,1.3,1.1,77,2,109,NGC,,,,,
0.444,-2.625,NF,Cet,,,0.116239,-0.0458149,205,,,,2,111,NGC,,,,,
0.446806,31.7039,Gxy,And,13.8,,0.116973,0.553337,206,1.1,0.5,108,2,112,NGC,,,,,
0.446306,-33.6767,Gxy,Scl,13.1,,0.116843,-0.587769,207,1.9,0.9,127,2,115,NGC,,,,,
0.446417,-71.5367,GC,Tuc,10.6,,0.116872,-1.24855,208,1.5,,,2,121,NGC,,,,,
0.4485,-2.50083,Gxy,Cet,13.1,,0.117417,-0.0436478,209,1.4,1,,2,113,NGC,,,,,
0.449639,-1.78472,Gxy,Cet,13.8,,0.117715,-0.0311493,210,0.9,0.7,165,2,114,NGC,,,,,
0.449194,-56.9783,Gxy,Phe,13.2,,0.117599,-0.99446,211,1,1,,2,119,NGC,,,,,
0.451444,-7.66917,Gxy,Cet,14,,0.118188,-0.133852,212,0.7,0.4,112,2,116,NGC,,,,,
0.453,1.33389,Gxy,Cet,14.4,,0.118595,0.0232808,213,0.7,0.4,100,2,117,NGC,,,,,
0.4545,-1.77889,Gxy,Cet,14.4,,0.118988,-0.0310475,214,0.7,0.5,40,2,118,NGC,,,,,
0.456944,71.3917,OC,Cas,,,0.119628,1.24602,215,,,,2,110,NGC,,,,,
0.458361,-1.51333,Gxy,Cet,13.5,,0.119999,-0.0264126,216,1.5,0.6,73,2,120,NGC,,,,,
0.45986,8.87756,Gxy,Psc,14.8,,0.120391,0.154943,217,2.4,,,3,1551,IC,,,,,
0.460639,-1.64028,*,Cet,,,0.120595,-0.0286282,218,,,,2,122,NGC,,,,,
0.461111,-1.6275,*,Cet,,,0.120719,-0.0284052,219,,,,2,123,NGC,,,,,
0.464528,-1.81056,Gxy,Cet,13.2,,0.121613,-0.0316002,220,1.4,0.9,168,2,124,NGC,,,,,
0.46879,-13.0939,Gxy,Cet,15.48,,0.122729,-0.228532,221,0.59,0.32,62.5,3,16,IC,,,,,
0.466667,-0.0666667,,Cet,,,0.122173,-0.00116355,222,,,,1,15,IC,,,,,
0.475,2.65,Gxy,Cet,15,,0.124355,0.0462512,223,,,,1,17,IC,,,,,
